type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,1,-1,1.00,-1,969,-220,1,0.21671
2,1,1,0.50,1,969,73,1,0.27062
2,1,1,0.50,1,1131,73,1,0.22847
1,1,1,0.50,1,969,-73,1,0.24934
2,-1,1,1.00,-1,969,-220,1,0.20234
1,-1,1,0.50,-1,1292,220,1,0.31916
1,1,1,0.50,1,1292,220,1,0.24481
2,-1,1,0.50,-1,969,-220,1,0.26569
1,-1,1,1.00,-1,1292,73,1,0.26780
1,1,-1,1.00,-1,1131,220,1,0.50786
1,1,1,0.50,1,969,-220,1,0.32862
2,1,-1,0.50,-1,1131,0,1,0.36568
2,1,1,1.00,1,1292,-73,1,0.22214
2,-1,1,1.00,-1,969,-73,1,0.20028
2,-1,1,0.50,-1,969,-73,1,0.24654
2,1,1,0.50,1,1292,73,1,0.26806
1,1,1,1.00,1,1131,220,1,0.29235
2,1,1,0.50,1,1131,-220,1,0.34615
1,-1,1,0.50,-1,969,-73,1,0.31166
1,-1,-1,1.00,1,1131,220,1,0.47184
2,-1,1,1.00,-1,1292,-220,1,0.18528
1,-1,1,1.00,-1,1292,-220,1,0.29866
2,-1,1,0.50,-1,1131,-73,1,0.20769
2,-1,1,0.50,-1,1292,-220,1,0.30324
2,-1,1,1.00,-1,1292,73,1,0.26423
1,-1,1,0.50,-1,1131,-73,1,0.27639
2,-1,1,0.50,-1,1131,-220,1,0.25806
2,-1,1,0.50,-1,1292,-73,1,0.22413
1,1,-1,1.00,-1,969,-220,1,0.42473
2,-1,-1,0.50,1,969,-220,1,0.47886
1,-1,1,1.00,-1,969,-73,1,0.24539
2,-1,1,0.50,-1,1131,220,1,0.31563
1,-1,1,1.00,-1,969,-220,1,0.25294
1,1,1,0.50,1,1131,-220,1,0.31359
2,-1,1,1.00,-1,1292,220,1,0.33047
2,-1,-1,1.00,1,969,-220,1,0.29223
1,1,1,1.00,1,1131,-73,1,0.26151
1,-1,1,1.00,-1,1131,73,1,0.27051
2,-1,-1,0.50,1,1131,0,1,0.28443
1,1,1,0.50,1,1131,-73,1,0.24930
2,1,1,1.00,1,969,-220,1,0.25075
1,-1,-1,0.50,1,1131,0,1,0.42338
2,-1,1,0.50,-1,969,220,1,0.27815
1,-1,1,1.00,-1,969,220,1,0.26995
1,-1,1,0.50,-1,969,-220,1,0.27574
2,-1,1,1.00,-1,969,73,1,0.30868
2,-1,1,1.00,-1,1292,-73,1,0.24557
2,1,1,0.50,1,969,-73,1,0.32341
1,-1,1,0.50,-1,1292,-73,1,0.29693
2,1,1,1.00,1,969,73,1,0.23491
1,-1,1,0.50,-1,1131,220,1,0.24804
1,-1,1,1.00,-1,1131,220,1,0.23998
2,1,1,1.00,1,1292,73,1,0.22512
1,-1,1,0.50,-1,969,73,1,0.27090
2,1,1,0.50,1,969,-220,1,0.30954
1,1,1,0.50,1,1131,220,1,0.23385
1,-1,1,0.50,-1,1292,73,1,0.22267
1,1,1,0.50,1,1292,-73,1,0.00003
2,-1,-1,1.00,1,1131,0,1,0.25285
1,-1,-1,0.50,1,969,-220,1,0.45684
1,1,-1,1.00,-1,1131,0,1,0.25803
2,1,1,1.00,1,1131,220,1,0.30076
1,1,1,1.00,1,969,220,1,0.35596
2,-1,1,1.00,-1,1131,-220,1,0.35928
1,-1,1,0.50,-1,1131,-220,1,0.31581
1,-1,1,1.00,-1,969,73,1,0.40399
2,-1,1,0.50,-1,969,73,1,0.34512
1,1,1,1.00,1,1292,73,1,0.25839
1,1,1,0.50,1,1131,73,1,0.30346
2,-1,1,1.00,-1,1131,-73,1,0.24953
2,-1,1,1.00,-1,1131,220,1,0.39413
2,1,1,0.50,1,1131,-73,1,0.36865
2,-1,-1,1.00,1,1131,220,1,0.41764
2,1,1,0.50,1,1292,-220,1,0.27997
2,1,1,0.50,1,1292,-73,1,0.28548
1,1,1,1.00,1,969,-220,1,0.28632
2,1,-1,0.50,-1,969,-220,1,0.27592
1,1,1,1.00,1,1292,-73,1,0.34167
2,1,1,1.00,1,1131,-220,1,0.31033
2,1,1,1.00,1,1292,220,1,0.33630
1,-1,1,0.50,-1,1292,-220,1,0.32523
1,1,1,1.00,1,969,73,1,0.36581
1,1,1,1.00,1,1131,73,1,0.31066
1,-1,1,0.50,-1,969,220,1,0.25774
1,-1,1,1.00,-1,1131,-73,1,0.29065
2,-1,1,1.00,-1,1131,73,1,0.24430
2,1,1,0.50,1,969,220,1,0.41859
2,1,1,0.50,1,1292,220,1,0.35925
2,1,1,1.00,1,1131,73,1,0.30504
2,1,1,0.50,1,1131,220,1,0.34368
1,1,-1,0.50,-1,1131,0,1,0.48351
2,1,-1,0.50,-1,1131,220,1,0.28146
2,-1,1,0.50,-1,1292,73,1,0.43132
1,-1,1,1.00,-1,1131,-220,1,0.34338
1,1,-1,0.50,-1,969,-220,1,0.33253
1,1,1,0.50,1,969,73,1,0.30532
2,1,1,1.00,1,969,-73,1,0.25872
2,1,-1,1.00,-1,1131,0,1,0.34815
2,-1,1,1.00,-1,969,220,1,0.30280
2,1,1,1.00,1,1131,-73,1,0.32778
2,1,1,1.00,1,1292,-220,1,0.32951
1,1,1,0.50,1,1292,73,1,0.24621
1,1,1,0.50,1,1292,-220,1,0.25128
2,-1,1,0.50,-1,1131,73,1,0.32892
1,1,-1,0.50,-1,1131,220,1,0.55814
1,-1,1,1.00,-1,1292,-73,1,0.26182
1,-1,-1,1.00,1,969,-220,1,0.31990
1,-1,-1,0.50,1,1131,220,1,0.35608
2,-1,-1,0.50,1,1131,220,1,0.31408
1,1,1,0.50,1,969,220,1,0.46224
1,-1,1,0.50,-1,1131,73,1,0.20287
1,-1,-1,1.00,1,1131,0,1,0.29207
1,1,1,1.00,1,969,-73,1,0.25227
1,1,1,1.00,1,1131,-220,1,0.30988
2,1,1,1.00,1,969,220,1,0.30345
2,1,-1,1.00,-1,1131,220,1,0.32816
1,-1,1,1.00,-1,1292,220,1,0.24996
2,-1,1,0.50,-1,1292,220,1,0.24746
1,1,1,1.00,1,1292,220,1,0.28061
1,1,1,1.00,1,1292,-220,1,0.24873
