type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,-1,-1,0.50,1,969,-220,1,0.28624
1,1,1,0.50,1,969,73,1,0.29809
2,-1,1,0.50,-1,969,-73,1,0.24814
2,1,1,1.00,1,969,-220,1,0.25805
1,1,1,1.00,1,1292,220,1,0.27399
1,-1,1,0.50,-1,969,-73,1,0.27874
1,-1,1,1.00,-1,1292,-220,1,0.30385
1,-1,1,1.00,-1,1131,220,1,0.31295
1,-1,1,0.50,-1,969,220,1,0.28478
2,1,-1,1.00,-1,1131,220,1,0.23906
1,-1,-1,0.50,1,969,-220,1,0.32468
1,1,1,0.50,1,1292,-73,1,0.25630
2,1,1,0.50,1,969,73,1,0.23925
1,-1,1,1.00,-1,1131,-220,1,0.27136
2,1,1,0.50,1,969,-220,1,0.22151
1,1,1,0.50,1,1292,-220,1,0.24211
1,-1,1,1.00,-1,969,-73,1,0.21935
1,-1,1,1.00,-1,969,-220,1,0.24326
2,1,-1,0.50,-1,969,-220,1,0.35325
2,1,1,1.00,1,1131,73,1,0.25909
2,1,1,0.50,1,969,-73,1,0.24148
2,-1,1,1.00,-1,1292,-220,1,0.22639
2,1,1,0.50,1,1131,220,1,0.27244
1,-1,-1,1.00,1,1131,0,1,0.25682
1,-1,1,0.50,-1,1292,220,1,0.29394
2,1,-1,0.50,-1,1131,220,1,0.25965
2,-1,-1,1.00,1,1131,0,1,0.26143
1,1,1,0.50,1,1292,220,1,0.22603
1,1,1,0.50,1,1131,-220,1,0.24723
1,-1,1,1.00,-1,969,220,1,0.26365
1,-1,-1,1.00,1,969,-220,1,0.55233
1,-1,1,0.50,-1,1131,220,1,0.26121
1,-1,1,1.00,-1,969,73,1,0.27000
1,-1,1,1.00,-1,1131,73,1,0.27061
1,-1,1,1.00,-1,1292,73,1,0.25485
2,-1,-1,1.00,1,1131,220,1,0.21675
2,1,1,1.00,1,969,-73,1,0.25068
2,-1,1,0.50,-1,1131,73,1,0.24079
2,1,1,1.00,1,969,220,1,0.26587
1,1,-1,0.50,-1,1131,0,1,0.32625
2,-1,1,0.50,-1,969,73,1,0.21301
1,1,-1,1.00,-1,1131,220,1,0.29299
2,1,1,1.00,1,1292,73,1,0.25467
2,-1,1,0.50,-1,969,-220,1,0.22681
2,1,1,0.50,1,1292,-220,1,0.34634
1,-1,1,0.50,-1,1292,-220,1,0.27031
1,1,1,1.00,1,969,220,1,0.30282
