type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,1,1,1,1,805,-185,1,0.42444
1,1,1,1,1,805,-61,1,0.35310
1,1,1,1,1,805,61,0,0.00000
1,1,1,1,1,805,185,0,0.00000
1,1,1,1,1,940,-185,0,0.00000
1,1,1,1,1,940,-61,0,0.00000
1,1,1,1,1,940,61,0,0.00000
1,1,1,1,1,940,185,0,0.00000
1,1,1,1,1,1076,-185,0,0.00000
1,1,1,1,1,1076,-61,0,0.00000
1,1,1,1,1,1076,61,0,0.00000
1,1,1,1,1,1076,185,0,0.00000
1,1,1,0,1,805,-185,0,0.00000
1,1,1,0,1,805,-61,0,0.00000
1,1,1,0,1,805,61,0,0.00000
1,1,1,0,1,805,185,0,0.00000
1,1,1,0,1,940,-185,0,0.00000
1,1,1,0,1,940,-61,0,0.00000
1,1,1,0,1,940,61,0,0.00000
1,1,1,0,1,940,185,0,0.00000
1,1,1,0,1,1076,-185,0,0.00000
1,1,1,0,1,1076,-61,0,0.00000
1,1,1,0,1,1076,61,0,0.00000
1,1,1,0,1,1076,185,0,0.00000
1,1,-1,1,-1,805,-185,0,0.00000
1,1,-1,1,-1,940,0,0,0.00000
1,1,-1,1,-1,940,185,0,0.00000
1,1,-1,0,-1,805,-185,0,0.00000
1,1,-1,0,-1,940,0,0,0.00000
1,1,-1,0,-1,940,185,0,0.00000
1,-1,1,1,-1,805,-185,0,0.00000
1,-1,1,1,-1,805,-61,0,0.00000
1,-1,1,1,-1,805,61,0,0.00000
1,-1,1,1,-1,805,185,0,0.00000
1,-1,1,1,-1,940,-185,0,0.00000
1,-1,1,1,-1,940,-61,0,0.00000
1,-1,1,1,-1,940,61,0,0.00000
1,-1,1,1,-1,940,185,0,0.00000
1,-1,1,1,-1,1076,-185,0,0.00000
1,-1,1,1,-1,1076,-61,0,0.00000
1,-1,1,1,-1,1076,61,0,0.00000
1,-1,1,1,-1,1076,185,0,0.00000
1,-1,1,0,-1,805,-185,0,0.00000
1,-1,1,0,-1,805,-61,0,0.00000
1,-1,1,0,-1,805,61,0,0.00000
1,-1,1,0,-1,805,185,0,0.00000
1,-1,1,0,-1,940,-185,0,0.00000
1,-1,1,0,-1,940,-61,0,0.00000
1,-1,1,0,-1,940,61,0,0.00000
1,-1,1,0,-1,940,185,0,0.00000
1,-1,1,0,-1,1076,-185,0,0.00000
1,-1,1,0,-1,1076,-61,0,0.00000
1,-1,1,0,-1,1076,61,0,0.00000
1,-1,1,0,-1,1076,185,0,0.00000
1,-1,-1,1,1,805,-185,0,0.00000
1,-1,-1,1,1,940,0,0,0.00000
1,-1,-1,1,1,940,185,0,0.00000
1,-1,-1,0,1,805,-185,0,0.00000
1,-1,-1,0,1,940,0,0,0.00000
1,-1,-1,0,1,940,185,0,0.00000
2,1,1,1,1,805,-185,0,0.00000
2,1,1,1,1,805,-61,0,0.00000
2,1,1,1,1,805,61,0,0.00000
2,1,1,1,1,805,185,0,0.00000
2,1,1,1,1,940,-185,0,0.00000
2,1,1,1,1,940,-61,0,0.00000
2,1,1,1,1,940,61,0,0.00000
2,1,1,1,1,940,185,0,0.00000
2,1,1,1,1,1076,-185,0,0.00000
2,1,1,1,1,1076,-61,0,0.00000
2,1,1,1,1,1076,61,0,0.00000
2,1,1,1,1,1076,185,0,0.00000
2,1,1,0,1,805,-185,0,0.00000
2,1,1,0,1,805,-61,0,0.00000
2,1,1,0,1,805,61,0,0.00000
2,1,1,0,1,805,185,0,0.00000
2,1,1,0,1,940,-185,0,0.00000
2,1,1,0,1,940,-61,0,0.00000
2,1,1,0,1,940,61,0,0.00000
2,1,1,0,1,940,185,0,0.00000
2,1,1,0,1,1076,-185,0,0.00000
2,1,1,0,1,1076,-61,0,0.00000
2,1,1,0,1,1076,61,0,0.00000
2,1,1,0,1,1076,185,0,0.00000
2,1,-1,1,-1,805,-185,0,0.00000
2,1,-1,1,-1,940,0,0,0.00000
2,1,-1,1,-1,940,185,0,0.00000
2,1,-1,0,-1,805,-185,0,0.00000
2,1,-1,0,-1,940,0,0,0.00000
2,1,-1,0,-1,940,185,0,0.00000
2,-1,1,1,-1,805,-185,0,0.00000
2,-1,1,1,-1,805,-61,0,0.00000
2,-1,1,1,-1,805,61,0,0.00000
2,-1,1,1,-1,805,185,0,0.00000
2,-1,1,1,-1,940,-185,0,0.00000
2,-1,1,1,-1,940,-61,0,0.00000
2,-1,1,1,-1,940,61,0,0.00000
2,-1,1,1,-1,940,185,0,0.00000
2,-1,1,1,-1,1076,-185,0,0.00000
2,-1,1,1,-1,1076,-61,0,0.00000
2,-1,1,1,-1,1076,61,0,0.00000
2,-1,1,1,-1,1076,185,0,0.00000
2,-1,1,0,-1,805,-185,0,0.00000
2,-1,1,0,-1,805,-61,0,0.00000
2,-1,1,0,-1,805,61,0,0.00000
2,-1,1,0,-1,805,185,0,0.00000
2,-1,1,0,-1,940,-185,0,0.00000
2,-1,1,0,-1,940,-61,0,0.00000
2,-1,1,0,-1,940,61,0,0.00000
2,-1,1,0,-1,940,185,0,0.00000
2,-1,1,0,-1,1076,-185,0,0.00000
2,-1,1,0,-1,1076,-61,0,0.00000
2,-1,1,0,-1,1076,61,0,0.00000
2,-1,1,0,-1,1076,185,0,0.00000
2,-1,-1,1,1,805,-185,0,0.00000
2,-1,-1,1,1,940,0,0,0.00000
2,-1,-1,1,1,940,185,0,0.00000
2,-1,-1,0,1,805,-185,0,0.00000
2,-1,-1,0,1,940,0,0,0.00000
2,-1,-1,0,1,940,185,0,0.00000
