type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,-1,1,1.00,-1,1292,220,1,0.27725
2,1,1,1.00,1,969,73,1,0.23871
2,-1,-1,0.50,1,1131,220,1,0.37299
2,1,1,0.50,1,1292,73,1,0.31522
1,-1,1,0.50,-1,969,220,1,0.31142
2,-1,1,1.00,-1,969,73,1,0.24113
1,1,1,0.50,1,969,-73,1,0.31003
2,-1,1,1.00,-1,1131,220,1,0.21537
1,1,1,1.00,1,969,-220,1,0.27279
2,1,1,0.50,1,1131,73,1,0.34947
1,-1,-1,1.00,1,969,-220,1,0.40020
2,1,1,0.50,1,1292,220,1,0.30895
1,1,1,0.50,1,969,220,1,0.29023
1,-1,1,1.00,-1,1292,220,1,0.25817
1,-1,1,0.50,-1,969,-73,1,0.28781
2,-1,-1,1.00,1,969,-220,1,0.37689
2,1,1,1.00,1,969,-73,1,0.43432
2,1,1,0.50,1,969,-73,1,0.34439
2,-1,1,0.50,-1,1131,-73,1,0.30277
2,1,1,1.00,1,1292,-73,1,0.20774
1,1,1,1.00,1,1292,73,1,0.28778
2,1,-1,0.50,-1,1131,220,1,0.27759
2,1,-1,1.00,-1,969,-220,1,0.23926
2,-1,1,0.50,-1,1131,73,1,0.25352
1,1,1,1.00,1,1131,-73,1,0.21261
2,1,1,1.00,1,1292,-220,1,0.24704
1,-1,1,1.00,-1,1292,73,1,0.19982
2,-1,1,0.50,-1,1292,220,1,0.35787
2,-1,1,0.50,-1,1292,73,1,0.25901
2,-1,1,1.00,-1,969,-220,1,0.21320
2,-1,-1,0.50,1,1131,0,1,0.34680
2,1,1,1.00,1,1131,73,1,0.22068
1,1,1,0.50,1,969,73,1,0.27290
2,1,1,0.50,1,1131,-73,1,0.40668
1,1,1,1.00,1,969,73,1,0.22407
2,1,1,1.00,1,1292,73,1,0.31341
2,1,1,1.00,1,969,-220,1,0.29808
1,-1,1,0.50,-1,1131,73,1,0.21497
1,1,-1,0.50,-1,1131,220,1,0.23445
2,1,1,1.00,1,1131,220,1,0.23042
1,-1,1,0.50,-1,1131,220,1,0.26557
2,-1,1,0.50,-1,1131,-220,1,0.36779
2,-1,1,0.50,-1,1292,-73,1,0.29273
2,1,1,1.00,1,1292,220,1,0.20015
1,1,1,0.50,1,1131,-73,1,0.28510
2,1,1,0.50,1,969,73,1,0.37714
2,-1,1,0.50,-1,969,-220,1,0.27989
1,1,1,0.50,1,1292,-220,1,0.26983
1,1,1,0.50,1,1131,-220,0,0.00000
2,1,1,0.50,1,1292,-220,1,0.31133
2,-1,1,0.50,-1,969,73,1,0.24665
2,-1,1,0.50,-1,1131,220,1,0.21829
2,-1,1,1.00,-1,1131,73,1,0.21285
1,1,1,1.00,1,1292,-220,1,0.25273
2,-1,-1,1.00,1,1131,220,1,0.30261
1,-1,-1,0.50,1,1131,0,1,0.26841
2,1,1,1.00,1,1131,-73,1,0.26954
2,-1,1,1.00,-1,1131,-73,1,0.27028
2,1,-1,1.00,-1,1131,220,1,0.28862
2,-1,1,1.00,-1,1131,-220,1,0.24232
1,-1,1,1.00,-1,1131,-73,1,0.25770
2,-1,-1,1.00,1,1131,0,1,0.22720
1,-1,1,0.50,-1,969,-220,1,0.32007
2,1,1,1.00,1,1131,-220,1,0.21009
2,-1,1,1.00,-1,969,-73,1,0.24356
1,1,1,1.00,1,1292,-73,1,0.43641
1,-1,1,1.00,-1,969,-220,1,0.26160
1,-1,1,1.00,-1,969,73,1,0.27014
1,-1,1,0.50,-1,1131,-220,1,0.25043
1,1,1,0.50,1,1131,220,1,0.24727
1,-1,1,1.00,-1,1131,220,1,0.22520
1,1,1,0.50,1,969,-220,1,0.18966
2,1,1,0.50,1,969,220,1,0.37078
1,1,1,1.00,1,969,220,1,0.16371
1,-1,1,0.50,-1,1292,73,1,0.25611
1,1,1,0.50,1,1292,73,1,0.22280
1,1,1,1.00,1,1131,220,1,0.21294
2,1,1,0.50,1,1292,-73,1,0.42846
1,-1,-1,0.50,1,969,-220,1,0.37695
1,1,1,1.00,1,1131,73,1,0.20160
1,1,-1,0.50,-1,969,-220,1,0.40681
2,-1,1,1.00,-1,1292,73,1,0.28741
1,-1,1,0.50,-1,1292,220,1,0.32449
1,1,1,1.00,1,1292,220,1,0.19706
2,1,-1,0.50,-1,1131,0,1,0.26862
1,-1,1,0.50,-1,1131,-73,1,0.14304
