type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,1,1,0.50,1,969,220,1,0.26301
1,1,1,1.00,1,1292,220,1,0.19977
2,-1,1,1.00,-1,1292,-73,1,0.25530
2,1,-1,0.50,-1,1131,220,1,0.38919
1,-1,1,0.50,-1,1131,220,1,0.26604
1,1,1,1.00,1,969,-220,1,0.37073
2,1,1,0.50,1,1292,-73,1,0.06456
1,1,1,1.00,1,1131,-220,1,0.16912
1,1,-1,0.50,-1,969,-220,1,0.43011
1,-1,-1,0.50,1,969,-220,1,0.36303
1,-1,1,1.00,-1,1292,-220,1,0.22764
1,1,1,0.50,1,1131,73,1,0.26448
1,-1,-1,1.00,1,1131,0,1,0.32112
1,-1,-1,0.50,1,1131,220,1,0.23007
1,1,-1,1.00,-1,1131,220,1,0.28679
2,1,1,1.00,1,969,-220,1,0.24046
2,1,1,1.00,1,969,220,1,0.01668
2,1,1,1.00,1,1131,220,1,0.16234
2,-1,1,0.50,-1,969,-73,1,0.16020
1,1,1,1.00,1,1292,73,1,0.20089
2,1,1,0.50,1,1131,220,1,0.09476
2,-1,1,1.00,-1,1131,-73,1,0.00104
1,1,1,0.50,1,969,-73,1,0.38130
2,1,1,1.00,1,1131,-73,1,0.07094
1,-1,1,0.50,-1,1131,-73,1,0.19582
2,1,1,0.50,1,1131,-220,1,0.15355
1,1,1,0.50,1,1292,73,1,0.19059
1,-1,1,1.00,-1,1131,-73,1,0.14305
2,-1,1,1.00,-1,1292,73,1,0.24085
2,-1,1,1.00,-1,1292,-220,1,0.15446
2,1,1,0.50,1,1292,-220,1,0.17628
1,-1,1,0.50,-1,1292,-73,1,0.38111
1,-1,1,1.00,-1,969,-73,1,0.17376
1,-1,1,1.00,-1,1131,-220,1,0.17452
2,1,1,1.00,1,1292,73,1,0.16032
1,1,-1,1.00,-1,969,-220,1,0.28089
1,-1,1,0.50,-1,1131,73,1,0.25498
2,1,1,0.50,1,969,73,1,0.20358
1,-1,1,1.00,-1,1292,73,1,0.18029
2,1,1,0.50,1,969,-73,1,0.15414
2,1,1,1.00,1,1292,220,1,0.15569
1,1,-1,1.00,-1,1131,0,1,0.22848
1,1,1,1.00,1,1131,220,1,0.18905
1,1,1,0.50,1,1292,-220,1,0.20200
2,1,1,1.00,1,969,-73,1,0.18769
1,1,1,1.00,1,1131,-73,1,0.22022
2,-1,1,0.50,-1,969,73,1,0.17817
1,-1,1,1.00,-1,1131,220,1,0.18687
1,1,1,1.00,1,1292,-73,1,0.20344
1,-1,1,0.50,-1,969,-73,1,0.19243
2,-1,1,1.00,-1,1131,-220,1,0.01796
2,1,1,0.50,1,1131,-73,1,0.18385
2,-1,1,0.50,-1,1292,-220,1,0.16562
1,1,1,0.50,1,1131,-220,1,0.24263
1,-1,1,1.00,-1,969,220,1,0.21120
2,1,1,1.00,1,969,73,1,0.17952
1,1,1,0.50,1,1131,220,1,0.30434
1,1,1,0.50,1,1292,220,1,0.16523
2,1,1,0.50,1,1131,73,1,0.25102
2,1,1,0.50,1,969,-220,1,0.25692
2,-1,-1,0.50,1,1131,220,1,0.25489
2,1,1,1.00,1,1131,-220,1,0.17653
2,-1,-1,0.50,1,969,-220,1,0.21439
2,-1,1,0.50,-1,1292,73,1,0.15615
2,1,1,1.00,1,1292,-73,1,0.11781
2,-1,1,0.50,-1,969,220,1,0.23568
1,1,1,0.50,1,1292,-73,1,0.24061
2,-1,-1,0.50,1,1131,0,1,0.19841
1,-1,1,0.50,-1,969,220,1,0.17932
2,-1,1,1.00,-1,1131,220,1,0.10896
1,1,1,1.00,1,969,220,1,0.21359
2,1,1,0.50,1,1292,73,1,0.19533
2,1,1,0.50,1,969,220,1,0.18402
1,-1,1,1.00,-1,1292,220,1,0.38472
