type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,-1,-1,0.50,1,1131,220,1,0.31734
1,-1,1,0.50,-1,1292,-73,1,0.29828
2,1,1,1.00,1,1292,-220,1,0.26792
2,1,1,1.00,1,969,220,1,0.30162
2,-1,-1,1.00,1,1131,0,1,0.43115
1,1,1,0.50,1,1131,73,1,0.33284
2,1,1,1.00,1,969,73,1,0.46172
1,-1,1,0.50,-1,1131,-73,1,0.34659
1,1,1,0.50,1,969,-220,1,0.29538
2,1,-1,1.00,-1,1131,0,1,0.62516
1,-1,1,1.00,-1,1131,220,1,0.22579
1,1,1,0.50,1,1292,-220,1,0.23868
1,1,1,0.50,1,1292,220,1,0.21949
1,-1,1,0.50,-1,1292,73,1,0.23238
2,-1,1,1.00,-1,969,-73,1,0.26602
2,-1,1,1.00,-1,969,-220,1,0.23568
1,-1,1,1.00,-1,1292,-220,1,0.26836
2,-1,1,1.00,-1,1131,220,1,0.27807
1,-1,1,0.50,-1,1131,220,1,0.25878
2,1,1,0.50,1,969,73,1,0.28878
1,-1,1,0.50,-1,1131,-220,1,0.21365
2,-1,1,1.00,-1,1131,73,1,0.16724
1,-1,1,0.50,-1,969,-73,1,0.20417
1,-1,1,0.50,-1,969,73,1,0.17703
1,1,-1,1.00,-1,1131,220,1,0.44173
2,-1,1,0.50,-1,1131,220,1,0.22357
2,-1,-1,1.00,1,969,-220,1,0.23317
1,-1,-1,1.00,1,969,-220,1,0.28183
1,-1,1,1.00,-1,1131,73,1,0.23451
1,1,1,1.00,1,1292,220,1,0.23525
1,1,-1,1.00,-1,969,-220,1,0.35581
1,-1,1,1.00,-1,969,-220,1,0.26877
1,-1,1,1.00,-1,1292,-73,1,0.22121
1,1,1,0.50,1,969,-73,1,0.21812
2,-1,1,1.00,-1,1292,-73,1,0.30772
1,1,1,1.00,1,1131,-220,1,0.38040
1,1,1,0.50,1,1131,-220,1,0.20125
1,1,1,1.00,1,969,-73,1,0.24190
1,1,1,0.50,1,1292,-73,1,0.23888
2,-1,1,1.00,-1,1292,-220,1,0.27238
2,1,1,0.50,1,1292,73,1,0.22898
1,1,1,1.00,1,1292,-73,1,0.22962
2,-1,1,0.50,-1,1292,-73,1,0.21949
2,1,1,0.50,1,1131,220,1,0.27335
2,-1,-1,1.00,1,1131,220,1,0.28304
2,-1,1,0.50,-1,969,-220,1,0.24089
1,-1,-1,0.50,1,1131,0,1,0.31769
1,1,1,1.00,1,1131,-73,1,0.26226
1,-1,-1,0.50,1,1131,220,1,0.27519
1,-1,1,0.50,-1,1131,73,1,0.45613
2,1,1,0.50,1,1131,73,1,0.20600
1,-1,1,1.00,-1,969,-73,1,0.22265
1,1,1,0.50,1,969,73,1,0.21152
1,1,1,0.50,1,1292,73,1,0.19253
2,-1,1,1.00,-1,969,220,1,0.23394
2,-1,-1,0.50,1,1131,0,1,0.27190
2,-1,1,1.00,-1,1292,220,1,0.26554
2,1,1,1.00,1,1292,73,1,0.24326
1,-1,-1,0.50,1,969,-220,1,0.48011
1,-1,1,1.00,-1,969,73,1,0.24878
2,1,1,1.00,1,969,-220,1,0.29841
1,-1,1,0.50,-1,969,-220,1,0.22328
2,-1,1,0.50,-1,1292,73,1,0.23719
1,-1,1,1.00,-1,1131,-73,1,0.20575
2,-1,-1,0.50,1,969,-220,1,0.29169
1,1,1,1.00,1,1131,73,1,0.25228
2,1,1,0.50,1,1131,-220,1,0.25808
2,1,1,1.00,1,1131,220,1,0.24388
2,-1,1,0.50,-1,969,220,1,0.24164
1,-1,1,0.50,-1,969,220,1,0.22243
1,-1,1,1.00,-1,1292,73,1,0.18977
2,-1,1,1.00,-1,1131,-73,1,0.20758
2,1,-1,0.50,-1,1131,0,1,0.36525
2,1,1,0.50,1,969,-73,1,0.18736
2,1,1,1.00,1,969,-73,1,0.22895
2,-1,1,1.00,-1,969,73,1,0.18251
2,1,-1,0.50,-1,969,-220,1,0.30830
1,1,1,1.00,1,1292,-220,1,0.22916
1,1,1,0.50,1,969,220,1,0.22576
1,1,1,0.50,1,1131,220,1,0.18327
2,1,1,1.00,1,1131,73,1,0.20854
2,1,1,1.00,1,1292,-73,1,0.22610
2,-1,1,1.00,-1,1131,-220,1,0.22783
2,1,1,1.00,1,1131,-73,1,0.18962
1,-1,1,1.00,-1,1131,-220,1,0.25402
1,1,-1,0.50,-1,1131,220,1,0.30252
2,-1,1,0.50,-1,1131,73,1,0.22348
1,-1,1,0.50,-1,1292,-220,1,0.34029
2,-1,1,0.50,-1,969,73,1,0.18626
1,-1,-1,1.00,1,1131,220,1,0.29893
2,-1,1,0.50,-1,1292,220,1,0.20079
2,-1,1,0.50,-1,1292,-220,1,0.19058
2,1,1,0.50,1,969,220,1,0.25246
1,1,1,0.50,1,1131,-73,1,0.31338
2,1,1,0.50,1,1292,-220,1,0.37504
2,1,-1,1.00,-1,1131,220,1,0.29676
2,1,-1,0.50,-1,1131,220,1,0.39064
1,1,1,1.00,1,969,220,1,0.26334
1,-1,1,1.00,-1,1292,220,1,0.19191
2,1,1,0.50,1,1292,220,1,0.25373
2,1,1,0.50,1,1292,-73,1,0.17033
