type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,1,-1,1.00,-1,1131,220,1,0.36910
1,1,1,1.00,1,1131,-73,1,0.21680
2,-1,1,0.50,-1,1131,-73,1,0.27053
1,1,-1,1.00,-1,969,-220,1,0.27865
2,-1,1,0.50,-1,1292,220,1,0.33208
2,1,1,0.50,1,969,73,1,0.24990
1,1,1,1.00,1,1292,-73,1,0.25901
1,1,-1,0.50,-1,1131,0,1,0.47153
2,-1,1,0.50,-1,969,-73,1,0.30957
2,1,1,1.00,1,1292,-220,1,0.31067
2,-1,1,1.00,-1,1131,-220,1,0.28042
2,1,1,0.50,1,969,-220,1,0.35121
1,-1,1,0.50,-1,1292,73,1,0.21861
2,-1,1,0.50,-1,969,-220,1,0.37676
1,-1,1,1.00,-1,1131,73,1,0.25756
2,-1,1,1.00,-1,1292,220,1,0.29108
2,1,1,0.50,1,1292,220,1,0.34160
2,1,1,0.50,1,1292,73,1,0.34020
1,1,1,0.50,1,969,220,1,0.29687
2,1,1,1.00,1,1131,-220,1,0.33817
1,-1,1,0.50,-1,969,73,1,0.25437
2,1,1,0.50,1,969,-73,1,0.30851
1,1,1,0.50,1,1292,220,1,0.40946
2,-1,-1,1.00,1,1131,0,1,0.30764
1,1,1,0.50,1,1292,-73,1,0.28753
2,-1,1,1.00,-1,1292,-73,0,0.00000
1,-1,1,1.00,-1,1131,-220,1,0.28980
2,1,1,1.00,1,969,-220,1,0.33216
1,1,-1,1.00,-1,1131,0,1,0.32408
2,1,1,0.50,1,969,220,1,0.40962
1,-1,1,1.00,-1,1292,-220,1,0.29804
2,-1,1,1.00,-1,1131,220,1,0.37208
1,-1,1,1.00,-1,1131,-73,1,0.24545
1,1,1,1.00,1,969,220,1,0.29324
2,1,1,1.00,1,969,-73,1,0.31105
1,-1,1,1.00,-1,969,-220,1,0.29623
1,-1,-1,0.50,1,969,-220,1,0.29299
1,1,1,0.50,1,969,-73,1,0.26497
1,-1,1,1.00,-1,1292,-73,1,0.24225
2,1,1,1.00,1,1131,220,1,0.28411
2,-1,1,0.50,-1,1131,73,1,0.36093
2,1,1,0.50,1,1292,-220,0,0.00000
1,1,1,1.00,1,1292,-220,1,0.27188
2,1,1,0.50,1,1131,73,1,0.33251
1,1,-1,0.50,-1,1131,220,1,0.30599
2,1,1,1.00,1,1131,73,1,0.33945
2,1,-1,0.50,-1,1131,0,1,0.28105
1,-1,-1,1.00,1,1131,220,1,0.31424
1,1,-1,1.00,-1,1131,220,1,0.29806
2,1,-1,1.00,-1,969,-220,1,0.26645
1,-1,1,0.50,-1,1131,220,1,0.24635
2,1,-1,0.50,-1,969,-220,1,0.29171
1,1,1,1.00,1,1131,73,1,0.27637
2,-1,1,0.50,-1,1292,-220,1,0.37023
2,1,1,1.00,1,1292,-73,1,0.31596
1,1,1,0.50,1,1292,-220,1,0.33691
1,1,1,0.50,1,1292,73,1,0.28473
2,-1,1,1.00,-1,969,-73,1,0.30219
1,-1,-1,0.50,1,1131,0,1,0.40415
1,1,1,0.50,1,969,73,1,0.38412
1,1,1,0.50,1,1131,-220,1,0.31699
1,-1,1,0.50,-1,1131,73,1,0.29017
2,-1,1,1.00,-1,969,73,1,0.45178
2,-1,-1,1.00,1,1131,220,1,0.38856
2,1,1,1.00,1,1292,73,1,0.34956
2,-1,1,0.50,-1,1292,-73,1,0.35447
2,1,-1,0.50,-1,1131,220,1,0.28132
1,-1,1,0.50,-1,1292,220,1,0.26893
1,1,1,1.00,1,1292,220,1,0.26944
1,-1,1,0.50,-1,1131,-220,1,0.23300
1,-1,1,1.00,-1,1292,220,1,0.30560
2,1,1,0.50,1,1131,-73,1,0.37512
2,-1,1,1.00,-1,1131,-73,1,0.29680
2,-1,1,1.00,-1,969,-220,1,0.32165
2,-1,-1,1.00,1,969,-220,1,0.33219
1,1,1,1.00,1,1131,-220,1,0.27669
1,-1,1,1.00,-1,1292,73,1,0.28362
2,1,1,0.50,1,1131,-220,1,0.37721
1,-1,1,1.00,-1,1131,220,1,0.26542
1,-1,1,1.00,-1,969,220,1,0.26642
1,1,1,1.00,1,969,-220,1,0.28410
1,-1,1,0.50,-1,969,-220,1,0.27908
1,1,1,1.00,1,969,-73,1,0.27973
1,-1,-1,1.00,1,1131,0,1,0.34978
1,1,1,1.00,1,969,73,1,0.23934
2,-1,-1,0.50,1,1131,220,1,0.35681
2,-1,1,1.00,-1,969,220,1,0.31823
1,-1,-1,0.50,1,1131,220,1,0.29134
2,1,1,1.00,1,1292,220,1,0.31703
1,-1,1,0.50,-1,1131,-73,1,0.28208
1,1,1,0.50,1,1131,-73,1,0.30215
1,-1,1,1.00,-1,969,73,1,0.32005
2,-1,1,1.00,-1,1131,73,1,0.36083
1,-1,1,0.50,-1,1292,-220,1,0.39850
2,1,1,1.00,1,969,73,1,0.28738
2,-1,1,0.50,-1,1131,220,1,0.32535
1,1,1,0.50,1,969,-220,1,0.41791
2,-1,1,0.50,-1,969,73,1,0.36649
2,1,1,1.00,1,969,220,1,0.31920
1,1,1,1.00,1,1292,73,1,0.27818
2,1,-1,1.00,-1,1131,0,1,0.31321
2,-1,1,0.50,-1,1131,-220,1,0.35098
2,-1,1,1.00,-1,1292,-220,1,0.30365
1,-1,1,0.50,-1,969,220,1,0.26058
2,-1,-1,0.50,1,1131,0,0,0.00000
2,1,1,0.50,1,1131,220,1,0.32803
2,-1,-1,0.50,1,969,-220,1,0.32605
1,1,-1,0.50,-1,969,-220,1,0.31507
2,1,1,0.50,1,1292,-73,1,0.34462
2,-1,1,1.00,-1,1292,73,1,0.28169
1,-1,1,0.50,-1,969,-73,1,0.32435
1,1,1,0.50,1,1131,73,1,0.24979
1,-1,-1,1.00,1,969,-220,1,0.46615
2,-1,1,0.50,-1,1292,73,1,0.43225
2,-1,1,0.50,-1,969,220,1,0.38178
1,-1,1,1.00,-1,969,-73,1,0.24754
1,1,1,0.50,1,1131,220,1,0.27620
2,1,1,1.00,1,1131,-73,1,0.31703
1,1,1,1.00,1,1131,220,1,0.31774
1,-1,1,0.50,-1,1292,-73,1,0.26738
