type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,1,1,0.50,1,969,-73,1,0.42679
2,1,1,0.50,1,1131,220,1,0.51146
1,-1,-1,1.00,1,1131,220,1,0.68015
2,1,1,1.00,1,1131,-220,1,0.39322
2,-1,1,1.00,-1,969,220,1,0.37007
1,-1,1,0.50,-1,1131,-220,1,0.36682
1,1,1,0.50,1,1131,220,1,0.39504
2,-1,1,1.00,-1,1131,73,1,0.30032
1,1,1,1.00,1,1292,-73,1,0.43634
2,-1,1,1.00,-1,1131,-73,1,0.34891
1,-1,1,0.50,-1,969,73,1,0.28248
2,1,1,0.50,1,1292,73,1,0.51984
1,-1,-1,0.50,1,1131,220,1,0.60485
2,-1,1,0.50,-1,1292,220,1,0.37835
2,1,1,0.50,1,969,-220,1,0.35840
1,1,1,1.00,1,969,-73,1,0.38297
2,-1,1,0.50,-1,1292,73,1,0.37096
1,-1,-1,0.50,1,969,-220,1,0.45601
2,-1,1,1.00,-1,969,73,1,0.32963
2,-1,1,0.50,-1,1131,220,1,0.31012
2,1,1,0.50,1,1131,-220,1,0.34842
2,1,1,0.50,1,1131,-73,1,0.36127
2,-1,-1,0.50,1,969,-220,1,0.29470
2,-1,1,0.50,-1,1131,73,1,0.31772
1,-1,1,1.00,-1,1292,73,1,0.28528
2,-1,-1,1.00,1,1131,220,1,0.33535
1,-1,1,0.50,-1,969,-220,1,0.25146
2,-1,1,1.00,-1,969,-73,1,0.35826
1,-1,1,1.00,-1,1292,220,1,0.28639
1,1,1,0.50,1,1131,-220,1,0.33078
1,1,1,1.00,1,1292,220,1,0.29923
2,1,1,0.50,1,969,220,1,0.32007
1,1,1,0.50,1,1292,-73,1,0.25343
1,1,1,1.00,1,1131,-73,1,0.30274
1,1,1,0.50,1,1292,73,1,0.27508
2,1,-1,1.00,-1,969,-220,1,0.41984
2,-1,1,0.50,-1,1292,-220,1,0.44924
1,1,1,1.00,1,1131,-220,1,0.23426
2,-1,1,1.00,-1,1131,-220,1,0.40425
2,1,1,0.50,1,1292,-73,1,0.38575
2,-1,-1,0.50,1,1131,0,1,0.34327
1,1,1,1.00,1,1292,-220,1,0.24763
1,-1,1,0.50,-1,1292,73,1,0.34830
1,-1,1,1.00,-1,969,-73,1,0.66939
1,-1,1,1.00,-1,969,-220,1,0.29266
1,-1,1,0.50,-1,1131,220,1,0.32961
1,-1,-1,0.50,1,1131,0,1,0.43045
2,1,1,0.50,1,1131,73,1,0.35564
2,1,1,0.50,1,1292,220,1,0.40206
2,1,1,1.00,1,1292,-220,1,0.41835
2,1,1,1.00,1,1131,73,1,0.33226
2,-1,-1,1.00,1,969,-220,1,0.33425
2,-1,1,1.00,-1,1292,-73,1,0.38282
2,1,-1,0.50,-1,1131,0,1,0.30094
2,1,1,1.00,1,1292,220,1,0.37419
2,-1,1,0.50,-1,969,73,0,0.00000
1,1,1,0.50,1,969,-220,1,0.28690
1,-1,1,0.50,-1,1292,-220,1,0.52368
1,-1,1,0.50,-1,1131,73,1,0.24195
1,1,1,1.00,1,969,-220,1,0.25740
2,-1,1,1.00,-1,1292,220,1,0.44237
2,1,-1,1.00,-1,1131,0,1,0.37129
1,1,1,0.50,1,969,-73,1,0.31253
1,1,-1,1.00,-1,969,-220,0,0.00000
1,1,1,0.50,1,1292,-220,1,0.23707
2,1,-1,1.00,-1,1131,220,1,0.47119
1,-1,1,1.00,-1,1292,-73,1,0.25483
2,1,1,1.00,1,1292,73,1,0.40896
1,1,-1,1.00,-1,1131,220,1,0.50563
2,-1,1,0.50,-1,969,-220,1,0.38230
2,-1,1,1.00,-1,969,-220,1,0.36841
2,-1,1,1.00,-1,1131,220,1,0.36214
1,1,-1,0.50,-1,1131,220,1,0.31813
2,1,1,0.50,1,969,73,1,0.46046
1,-1,1,0.50,-1,969,220,1,0.31377
1,-1,1,0.50,-1,1292,-73,1,0.35067
2,1,1,1.00,1,969,73,1,0.37584
2,-1,1,0.50,-1,1131,-220,1,0.43627
1,1,1,1.00,1,969,220,1,0.29285
1,1,1,1.00,1,1292,73,1,0.28559
1,-1,1,0.50,-1,1292,220,1,0.43466
2,-1,1,0.50,-1,1131,-73,1,0.37437
1,-1,1,1.00,-1,1131,-73,1,0.21792
2,1,1,0.50,1,1292,-220,1,0.50150
1,-1,1,0.50,-1,969,-73,1,0.33740
1,1,1,1.00,1,1131,220,1,0.36970
1,1,1,0.50,1,1131,-73,1,0.31887
1,1,-1,0.50,-1,1131,0,1,0.54693
2,-1,1,0.50,-1,969,-73,1,0.48048
2,-1,1,0.50,-1,1292,-73,1,0.35057
1,1,1,0.50,1,1131,73,1,0.29279
2,1,-1,0.50,-1,1131,220,1,0.35278
1,-1,1,0.50,-1,1131,-73,1,0.29330
2,1,1,1.00,1,1131,220,0,0.00000
2,-1,-1,1.00,1,1131,0,1,0.28691
1,-1,1,1.00,-1,969,220,1,0.36095
1,1,1,1.00,1,969,73,1,0.34616
1,1,-1,1.00,-1,1131,0,1,0.64781
1,1,1,1.00,1,1131,73,1,0.26599
1,-1,1,1.00,-1,969,73,1,0.28870
1,-1,-1,1.00,1,1131,0,1,0.32889
1,-1,1,1.00,-1,1131,220,1,0.23388
2,1,1,1.00,1,969,-73,1,0.36265
2,-1,-1,0.50,1,1131,220,1,0.28184
2,1,1,1.00,1,969,220,1,0.32238
1,1,-1,0.50,-1,969,-220,1,0.38182
1,-1,1,1.00,-1,1292,-220,1,0.25540
1,1,1,0.50,1,969,220,1,0.31550
2,-1,1,1.00,-1,1292,-220,0,0.00000
2,1,1,1.00,1,969,-220,1,0.32323
2,1,1,1.00,1,1292,-73,1,0.32649
2,1,-1,0.50,-1,969,-220,1,0.32359
1,-1,1,1.00,-1,1131,73,1,0.26845
1,1,1,0.50,1,969,73,1,0.30499
2,1,1,1.00,1,1131,-73,1,0.42679
2,-1,1,1.00,-1,1292,73,1,0.32308
1,-1,1,1.00,-1,1131,-220,1,0.32387
1,-1,-1,1.00,1,969,-220,1,0.59595
1,1,1,0.50,1,1292,220,1,0.28978
2,-1,1,0.50,-1,969,220,1,0.35848
