type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,-1,1,1.00,-1,1131,-220,1,0.29070
2,-1,1,1.00,-1,1292,73,1,0.26822
1,-1,1,1.00,-1,1131,-73,1,0.28398
2,-1,1,0.50,-1,969,220,1,0.24105
2,-1,1,0.50,-1,969,-73,1,0.27078
2,-1,1,0.50,-1,1131,-73,1,0.22947
1,-1,1,0.50,-1,1131,220,1,0.24935
2,-1,1,1.00,-1,969,73,1,0.25892
1,-1,1,0.50,-1,1292,-73,1,0.31161
1,-1,1,1.00,-1,1131,220,1,0.23940
1,1,-1,1.00,-1,1131,0,1,0.24753
2,-1,1,0.50,-1,1292,220,1,0.27002
2,-1,1,0.50,-1,1292,-73,1,0.30824
2,-1,-1,1.00,1,1131,0,1,0.24599
1,1,1,1.00,1,969,220,1,0.27785
1,1,1,1.00,1,1131,220,1,0.25531
1,1,-1,1.00,-1,969,-220,1,0.44737
2,1,-1,0.50,-1,969,-220,1,0.29362
2,1,1,1.00,1,969,-220,1,0.23202
2,-1,1,1.00,-1,1131,73,1,0.23201
1,-1,1,1.00,-1,969,73,1,0.24962
1,-1,-1,0.50,1,1131,0,1,0.27762
1,1,1,0.50,1,1292,73,1,0.20244
1,1,1,1.00,1,1292,-220,1,0.18653
2,1,-1,0.50,-1,1131,0,1,0.32867
2,1,1,1.00,1,1292,-220,1,0.21871
1,1,1,0.50,1,1292,220,1,0.31160
2,-1,1,0.50,-1,969,73,1,0.23650
1,-1,1,0.50,-1,969,73,1,0.30596
2,1,1,0.50,1,1292,220,1,0.23867
1,1,-1,0.50,-1,969,-220,0,0.00000
2,1,1,0.50,1,1131,73,1,0.19346
1,1,1,1.00,1,1292,-73,1,0.21089
2,1,1,0.50,1,1292,73,1,0.27222
1,-1,1,0.50,-1,1131,-220,1,0.20484
1,-1,1,0.50,-1,1131,73,1,0.19328
1,1,1,1.00,1,969,73,1,0.20905
2,1,1,0.50,1,1131,220,1,0.19799
1,-1,1,0.50,-1,1131,-73,1,0.24355
1,1,1,1.00,1,969,-73,1,0.19729
1,1,1,0.50,1,969,73,1,0.24952
1,1,-1,0.50,-1,1131,220,1,0.34928
1,1,1,0.50,1,1131,73,1,0.18688
1,-1,1,0.50,-1,1292,-220,1,0.20795
1,-1,1,0.50,-1,969,-73,1,0.26070
2,-1,1,1.00,-1,1131,-220,1,0.24647
2,1,1,0.50,1,1292,-73,1,0.41202
2,1,1,0.50,1,1131,-73,1,0.20914
1,-1,-1,1.00,1,969,-220,1,0.33038
1,1,1,1.00,1,1292,220,1,0.37886
1,1,1,0.50,1,969,-73,1,0.24047
2,1,-1,1.00,-1,1131,0,1,0.21659
2,1,1,0.50,1,969,-73,1,0.22992
2,1,1,1.00,1,969,220,1,0.27166
2,1,1,0.50,1,1131,-220,1,0.25300
1,-1,1,1.00,-1,1292,-220,1,0.22167
1,-1,-1,1.00,1,1131,0,1,0.22297
1,1,1,1.00,1,969,-220,1,0.27161
2,-1,1,1.00,-1,1292,-220,1,0.27857
2,1,1,1.00,1,1131,220,1,0.40920
2,-1,1,1.00,-1,969,-220,1,0.23494
2,-1,1,1.00,-1,969,220,1,0.28369
1,-1,1,1.00,-1,1292,220,1,0.24428
2,1,1,1.00,1,969,73,1,0.18958
1,-1,1,1.00,-1,1131,73,1,0.24626
2,1,-1,1.00,-1,1131,220,1,0.32809
1,-1,-1,0.50,1,1131,220,1,0.35704
2,-1,1,0.50,-1,1131,-220,1,0.31479
1,1,1,1.00,1,1131,73,1,0.23591
1,1,1,1.00,1,1292,73,1,0.22877
2,1,-1,1.00,-1,969,-220,1,0.45453
2,1,1,1.00,1,1292,-73,1,0.26302
2,1,1,0.50,1,969,220,1,0.37326
2,-1,1,0.50,-1,1292,-220,1,0.29859
2,-1,1,1.00,-1,1292,220,1,0.27608
2,1,1,1.00,1,1292,220,1,0.24655
2,-1,1,1.00,-1,1131,-73,1,0.22202
1,-1,1,0.50,-1,1292,73,1,0.25878
2,1,1,0.50,1,969,-220,1,0.26468
1,1,1,0.50,1,1131,-73,1,0.39021
1,-1,1,1.00,-1,969,-73,1,0.20698
1,1,1,0.50,1,969,220,1,0.37230
2,-1,-1,1.00,1,969,-220,1,0.43760
1,-1,1,1.00,-1,1292,73,1,0.22927
2,-1,1,1.00,-1,1131,220,1,0.30441
2,1,1,1.00,1,969,-73,1,0.20126
1,-1,1,0.50,-1,969,220,1,0.38879
1,1,1,0.50,1,1292,-220,1,0.28215
1,-1,1,0.50,-1,1292,220,1,0.20664
1,1,1,1.00,1,1131,-220,1,0.27132
2,1,1,1.00,1,1131,73,1,0.58518
1,-1,1,1.00,-1,1292,-73,1,0.40174
2,-1,1,0.50,-1,969,-220,1,0.37509
1,-1,-1,0.50,1,969,-220,1,0.56339
1,1,-1,0.50,-1,1131,0,1,0.31218
2,1,1,1.00,1,1131,-220,1,0.24095
1,-1,1,0.50,-1,969,-220,1,0.71713
1,1,1,0.50,1,1292,-73,1,0.22557
2,1,1,1.00,1,1131,-73,1,0.29930
2,-1,1,1.00,-1,969,-73,1,0.24498
2,-1,-1,1.00,1,1131,220,1,0.27071
2,-1,1,0.50,-1,1131,220,1,0.38889
2,-1,-1,0.50,1,1131,0,1,0.29789
2,-1,-1,0.50,1,969,-220,1,0.21646
1,1,1,0.50,1,1131,220,1,0.28540
2,-1,1,0.50,-1,1131,73,1,0.20302
1,-1,1,1.00,-1,969,-220,1,0.27593
2,1,-1,0.50,-1,1131,220,1,0.45708
1,-1,1,1.00,-1,969,220,1,0.24131
2,1,1,0.50,1,969,73,1,0.42367
2,-1,-1,0.50,1,1131,220,1,0.26140
1,1,1,0.50,1,1131,-220,1,0.36954
2,-1,1,1.00,-1,1292,-73,1,0.23453
2,1,1,0.50,1,1292,-220,1,0.23313
2,-1,1,0.50,-1,1292,73,1,0.20562
2,1,1,1.00,1,1292,73,1,0.23142
1,1,1,1.00,1,1131,-73,1,0.20034
1,1,1,0.50,1,969,-220,1,0.28542
1,-1,-1,1.00,1,1131,220,1,0.38210
1,1,-1,1.00,-1,1131,220,1,0.37471
