type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,-1,-1,0.50,1,1131,0,1,0.46699
1,-1,1,1.00,-1,1131,-220,1,0.29927
2,-1,1,1.00,-1,1292,220,1,0.31643
1,1,1,0.50,1,1131,-220,1,0.32161
2,1,1,0.50,1,1292,-73,1,0.29561
2,-1,1,1.00,-1,1131,73,1,0.40157
1,1,1,1.00,1,969,-73,1,0.26546
2,-1,1,1.00,-1,969,-220,1,0.32281
2,1,1,0.50,1,969,-220,1,0.30436
2,-1,1,1.00,-1,1131,-220,1,0.34600
1,-1,1,0.50,-1,969,220,1,0.35047
1,1,-1,0.50,-1,1131,0,1,0.40387
1,1,1,1.00,1,969,220,1,0.24573
1,1,1,0.50,1,969,-73,1,0.39427
2,1,1,1.00,1,1292,-220,1,0.61917
2,1,-1,1.00,-1,969,-220,1,0.34852
2,-1,1,0.50,-1,1292,-220,1,0.32156
1,-1,1,0.50,-1,1131,-220,1,0.35117
2,1,1,1.00,1,969,73,1,0.31310
2,-1,1,0.50,-1,969,-220,1,0.30171
2,1,1,1.00,1,1292,220,1,0.34300
2,1,-1,0.50,-1,1131,0,1,0.30869
2,-1,1,1.00,-1,1292,73,1,0.38248
2,-1,1,0.50,-1,1131,-73,1,0.23704
2,1,1,1.00,1,969,-73,1,0.31074
2,1,1,1.00,1,1292,73,1,0.27171
2,-1,-1,1.00,1,1131,0,1,0.25673
1,-1,-1,0.50,1,1131,220,1,0.34980
1,-1,1,0.50,-1,1292,-73,1,0.25925
2,1,1,0.50,1,969,-73,1,0.44955
2,-1,1,0.50,-1,1292,220,1,0.29571
1,1,-1,1.00,-1,1131,0,1,0.26351
2,1,1,0.50,1,1131,-73,1,0.29388
1,-1,1,0.50,-1,1131,220,1,0.28222
1,-1,1,0.50,-1,969,-73,1,0.24680
1,1,1,0.50,1,1292,220,1,0.26856
2,-1,-1,1.00,1,1131,220,1,0.30892
1,-1,1,1.00,-1,1131,73,1,0.26245
1,-1,1,0.50,-1,969,-220,1,0.28188
2,1,1,1.00,1,1292,-73,1,0.35506
1,1,-1,1.00,-1,1131,220,1,0.45970
1,1,1,1.00,1,1292,220,1,0.27758
1,1,1,1.00,1,1131,73,1,0.30971
2,1,1,0.50,1,1131,73,1,0.36357
2,1,1,1.00,1,1131,-220,1,0.33240
1,1,1,0.50,1,969,73,1,0.28659
2,1,-1,1.00,-1,1131,0,1,0.44827
2,-1,1,0.50,-1,969,73,1,0.28458
1,1,1,1.00,1,969,-220,1,0.34119
2,1,1,0.50,1,1292,73,1,0.42675
1,-1,1,1.00,-1,1131,220,1,0.27618
2,1,1,1.00,1,1131,220,1,0.32514
1,-1,1,0.50,-1,1131,-73,1,0.29820
1,-1,1,1.00,-1,969,-73,1,0.24818
2,-1,-1,0.50,1,1131,0,1,0.30158
1,1,1,1.00,1,1131,220,1,0.22252
2,-1,1,1.00,-1,1292,-220,1,0.20783
2,-1,1,1.00,-1,969,-73,1,0.28175
1,1,1,0.50,1,969,220,1,0.27859
1,1,-1,0.50,-1,969,-220,1,0.23514
1,1,1,0.50,1,1131,-73,1,0.41614
2,-1,1,0.50,-1,1292,73,1,0.27798
1,1,1,0.50,1,1131,73,1,0.36187
1,-1,1,1.00,-1,969,73,1,0.24353
1,1,-1,0.50,-1,1131,220,1,0.28022
1,1,1,1.00,1,1131,-220,1,0.36885
1,1,1,0.50,1,1292,73,1,0.22898
2,-1,1,0.50,-1,969,-73,1,0.23527
1,-1,1,1.00,-1,1292,-73,1,0.19557
1,1,1,0.50,1,1292,-73,1,0.28144
1,-1,-1,1.00,1,1131,0,1,0.26522
1,-1,-1,0.50,1,969,-220,1,0.35053
1,1,1,1.00,1,1131,-73,1,0.27988
2,1,1,0.50,1,1292,220,1,0.26153
2,-1,1,0.50,-1,1131,73,1,0.32246
2,-1,1,0.50,-1,1131,-220,1,0.26351
1,-1,1,0.50,-1,1292,220,1,0.34956
2,1,1,1.00,1,969,220,1,0.23846
2,-1,1,1.00,-1,1131,220,1,0.20885
2,-1,1,1.00,-1,1292,-73,1,0.24954
1,1,-1,1.00,-1,969,-220,0,0.00000
2,1,1,1.00,1,1131,73,1,0.46070
2,-1,1,0.50,-1,1131,220,1,0.26550
1,-1,1,1.00,-1,1292,73,1,0.22712
2,1,1,0.50,1,969,220,1,0.27346
2,-1,1,1.00,-1,969,73,1,0.22651
1,-1,1,1.00,-1,1131,-73,1,0.22718
2,1,1,1.00,1,969,-220,1,0.29256
2,1,-1,0.50,-1,1131,220,1,0.35479
1,1,1,1.00,1,1292,73,1,0.22696
1,1,1,0.50,1,969,-220,1,0.27228
2,1,1,0.50,1,1292,-220,1,0.29394
1,-1,1,1.00,-1,969,-220,1,0.23754
1,1,1,0.50,1,1292,-220,1,0.28341
2,-1,-1,1.00,1,969,-220,1,0.22864
2,1,1,0.50,1,969,73,1,0.35402
2,-1,-1,0.50,1,969,-220,1,0.28814
1,-1,1,1.00,-1,1292,-220,1,0.24915
1,-1,1,0.50,-1,1292,73,1,0.26999
1,1,1,1.00,1,969,73,1,0.26225
1,-1,1,1.00,-1,969,220,1,0.27194
2,1,-1,1.00,-1,1131,220,1,0.23243
1,-1,1,1.00,-1,1292,220,1,0.35282
1,-1,1,0.50,-1,1131,73,1,0.22277
2,1,1,0.50,1,1131,220,1,0.25778
2,-1,1,1.00,-1,969,220,1,0.28265
2,-1,-1,0.50,1,1131,220,1,0.24090
1,1,1,1.00,1,1292,-73,1,0.26519
1,-1,-1,1.00,1,969,-220,1,0.35973
1,-1,1,0.50,-1,1292,-220,1,0.25316
2,1,1,0.50,1,1131,-220,1,0.27510
2,1,-1,0.50,-1,969,-220,1,0.26427
2,1,1,1.00,1,1131,-73,1,0.25082
1,1,1,0.50,1,1131,220,1,0.26298
2,-1,1,0.50,-1,969,220,1,0.25169
2,-1,1,1.00,-1,1131,-73,1,0.23843
1,1,1,1.00,1,1292,-220,1,0.27903
2,-1,1,0.50,-1,1292,-73,1,0.25239
1,-1,1,0.50,-1,969,73,1,0.39300
1,-1,-1,1.00,1,1131,220,1,0.36786
