type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,-1,1,1.00,-1,1131,73,1,0.41136
2,1,1,0.50,1,969,-220,1,0.40102
1,-1,1,1.00,-1,969,-220,1,0.24258
1,-1,1,0.50,-1,1131,220,1,0.15838
2,1,1,0.50,1,1131,73,1,0.17997
1,-1,1,1.00,-1,1292,-220,1,0.18879
2,1,1,1.00,1,969,-220,1,0.19053
1,1,-1,0.50,-1,969,-220,1,0.21205
2,-1,1,0.50,-1,969,73,1,0.35362
1,1,1,1.00,1,1292,-220,1,0.22573
2,-1,-1,1.00,1,1131,0,1,0.14834
2,1,-1,1.00,-1,969,-220,1,0.22933
2,-1,1,0.50,-1,969,-220,1,0.29233
2,1,-1,1.00,-1,1131,220,1,0.14857
1,-1,1,1.00,-1,1131,-73,1,0.15863
2,-1,1,0.50,-1,1131,-220,1,0.18782
2,-1,1,1.00,-1,969,220,1,0.15670
2,1,1,1.00,1,1292,-73,1,0.22243
2,-1,1,1.00,-1,969,73,1,0.17623
1,1,1,1.00,1,969,-73,1,0.18356
2,-1,1,0.50,-1,1131,73,1,0.18120
2,-1,1,0.50,-1,969,220,1,0.18727
1,1,1,0.50,1,1292,-73,1,0.22429
2,1,1,1.00,1,1131,73,1,0.16995
1,-1,-1,1.00,1,969,-220,1,0.28248
2,1,1,0.50,1,969,-73,1,0.29731
2,-1,1,1.00,-1,1292,73,1,0.19413
1,1,-1,0.50,-1,1131,220,0,0.00000
1,1,1,0.50,1,969,73,1,0.31580
2,1,1,1.00,1,1292,-220,1,0.18137
1,1,1,0.50,1,1131,-73,1,0.20212
2,1,1,1.00,1,969,73,1,0.22820
2,-1,1,1.00,-1,1131,220,1,0.22149
2,-1,1,0.50,-1,1131,-73,1,0.29233
2,1,1,1.00,1,969,-73,1,0.21292
2,-1,-1,0.50,1,1131,220,1,0.00003
2,-1,1,0.50,-1,1131,220,1,0.32872
1,1,1,1.00,1,1131,73,1,0.22664
1,1,1,0.50,1,1292,73,1,0.27107
1,-1,1,1.00,-1,969,73,1,0.17495
2,1,1,1.00,1,969,220,1,0.17634
2,-1,1,1.00,-1,1131,73,1,0.17015
1,-1,1,0.50,-1,969,220,1,0.00004
2,-1,-1,1.00,1,969,-220,1,0.24858
1,1,1,1.00,1,1292,220,1,0.17054
2,-1,1,1.00,-1,1131,-73,1,0.17092
2,1,1,1.00,1,1292,220,1,0.66864
1,1,1,1.00,1,969,-220,1,0.26913
2,-1,1,1.00,-1,1292,220,1,0.17567
1,1,1,0.50,1,969,-73,1,0.23612
1,-1,1,1.00,-1,1292,73,1,0.14859
1,1,1,1.00,1,1131,220,1,0.25305
1,-1,1,0.50,-1,1131,-220,1,0.17752
2,1,-1,1.00,-1,1131,0,1,0.26833
2,-1,1,1.00,-1,969,-220,1,0.26134
1,1,1,1.00,1,1131,-73,1,0.18994
1,1,1,0.50,1,1131,-220,1,0.16305
2,1,1,1.00,1,1131,-220,1,0.00017
1,1,-1,0.50,-1,1131,0,1,0.40135
2,1,1,0.50,1,1131,220,1,0.29504
2,1,1,0.50,1,969,73,1,0.37981
2,-1,1,0.50,-1,1292,73,1,0.09004
2,1,1,0.50,1,1292,220,1,0.80715
2,1,-1,0.50,-1,969,-220,1,0.79738
2,-1,1,0.50,-1,1292,220,1,0.33953
2,-1,1,0.50,-1,1292,-73,1,0.35262
2,-1,1,1.00,-1,1131,-220,1,0.24269
2,-1,-1,1.00,1,1131,220,1,0.37235
1,1,-1,1.00,-1,1131,220,1,1.06025
2,-1,1,0.50,-1,969,-73,0,0.00000
2,-1,1,1.00,-1,1292,-73,1,0.19659
1,1,1,0.50,1,1131,220,1,0.26549
1,-1,1,0.50,-1,1131,73,1,0.23835
1,-1,-1,1.00,1,1131,220,1,0.24731
2,-1,1,1.00,-1,969,-73,1,0.27244
2,-1,-1,0.50,1,969,-220,1,0.26254
1,1,1,1.00,1,969,220,1,0.27893
2,-1,1,1.00,-1,1292,-220,1,0.00003
1,-1,1,0.50,-1,1131,-73,1,0.25328
1,-1,1,1.00,-1,969,-73,1,0.48645
2,1,1,0.50,1,1131,-220,1,0.00004
1,1,1,0.50,1,1131,73,0,0.00000
1,-1,1,0.50,-1,1292,220,1,0.32596
1,-1,-1,1.00,1,1131,0,1,0.46255
1,1,1,0.50,1,969,-220,1,0.27539
2,1,1,1.00,1,1131,-73,1,0.17298
2,1,1,0.50,1,1292,-73,0,0.00000
1,1,1,0.50,1,969,220,1,0.27799
1,-1,1,1.00,-1,1131,-220,1,0.22319
1,-1,1,0.50,-1,969,-73,1,0.62797
1,-1,-1,0.50,1,1131,0,1,0.47319
1,-1,1,0.50,-1,1292,-73,1,0.25373
1,-1,1,0.50,-1,969,73,1,0.82648
2,1,1,1.00,1,1292,73,1,0.24430
2,1,1,1.00,1,1131,220,1,1.39000
2,1,-1,0.50,-1,1131,220,1,0.58781
2,1,1,0.50,1,1292,73,1,0.48156
2,1,1,0.50,1,969,220,1,0.00004
2,1,1,0.50,1,1131,-73,1,0.00004
2,1,-1,0.50,-1,1131,0,1,0.25919
1,-1,1,1.00,-1,969,220,1,0.41202
1,1,1,1.00,1,969,73,1,0.00014
1,-1,1,0.50,-1,1292,73,1,0.00014
1,1,-1,1.00,-1,969,-220,0,0.00000
1,1,1,1.00,1,1131,-220,1,0.60245
1,-1,1,1.00,-1,1131,220,1,0.27565
1,-1,1,1.00,-1,1292,-73,1,0.30039
1,-1,1,0.50,-1,1292,-220,0,0.00000
1,1,1,0.50,1,1292,220,1,0.25382
1,1,1,0.50,1,1292,-220,1,0.26647
2,-1,1,0.50,-1,1292,-220,1,0.40878
1,1,1,1.00,1,1292,73,1,1.08167
1,-1,-1,0.50,1,969,-220,1,0.43847
1,-1,1,0.50,-1,969,-220,1,0.37960
1,-1,-1,0.50,1,1131,220,1,0.00003
1,1,-1,1.00,-1,1131,0,1,0.27125
2,1,1,0.50,1,1292,-220,1,0.42915
