type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,-1,1,1.00,-1,969,-73,1,0.19702
2,-1,-1,1.00,1,1131,0,1,0.22350
1,1,1,0.50,1,1131,220,1,0.17938
2,1,-1,0.50,-1,969,-220,1,0.24130
1,-1,1,1.00,-1,969,-73,1,0.16197
2,1,1,0.50,1,1131,220,1,0.23126
2,-1,1,0.50,-1,1292,-220,1,0.31798
2,-1,1,0.50,-1,1292,73,1,0.17922
1,1,1,0.50,1,969,73,1,0.11929
2,-1,1,0.50,-1,1292,-73,1,0.15676
2,-1,-1,0.50,1,969,-220,1,0.14728
1,-1,1,0.50,-1,1292,-220,1,0.00003
1,-1,1,1.00,-1,969,-220,1,0.18451
1,-1,1,0.50,-1,969,73,1,0.16534
2,1,1,0.50,1,1131,-73,1,0.25079
2,-1,1,1.00,-1,969,220,1,0.15698
1,-1,1,1.00,-1,1131,73,1,0.17386
2,-1,1,1.00,-1,1131,-73,1,0.38345
2,-1,-1,0.50,1,1131,220,1,0.30916
2,1,1,0.50,1,969,-220,1,0.27477
2,-1,1,1.00,-1,1292,-73,1,0.16427
2,-1,1,1.00,-1,1131,73,1,0.19024
2,1,1,0.50,1,969,-73,1,0.21025
1,1,1,0.50,1,969,-220,1,0.23917
2,1,1,1.00,1,1131,73,1,0.17022
1,1,-1,0.50,-1,969,-220,1,0.23747
1,-1,1,0.50,-1,1292,73,1,0.23477
2,1,1,1.00,1,1131,-220,1,0.17357
1,-1,1,0.50,-1,1131,-220,1,0.13719
2,1,-1,1.00,-1,1131,220,1,0.21970
2,1,1,0.50,1,1292,-220,1,0.36050
1,-1,-1,0.50,1,1131,0,1,0.15752
2,1,1,1.00,1,1131,-73,1,0.00003
2,-1,1,0.50,-1,1131,-220,1,0.37317
2,-1,-1,1.00,1,969,-220,1,0.20592
1,1,1,1.00,1,969,-220,1,0.19927
1,1,1,0.50,1,1292,73,1,0.21230
2,-1,1,0.50,-1,1131,-73,1,0.18626
2,-1,1,0.50,-1,969,220,1,0.27207
2,-1,1,1.00,-1,969,-220,1,0.00003
1,-1,1,0.50,-1,1292,-73,1,0.19042
1,-1,-1,0.50,1,969,-220,1,0.21233
2,1,1,1.00,1,1131,220,1,0.21117
1,1,1,1.00,1,1292,-73,1,0.16406
1,-1,1,0.50,-1,969,-73,1,0.27312
1,-1,1,1.00,-1,1292,73,1,0.16220
1,1,1,0.50,1,969,-73,1,0.22115
2,1,-1,1.00,-1,1131,0,1,0.19130
2,1,1,1.00,1,1292,73,1,0.14465
1,1,1,0.50,1,1292,220,1,0.29417
2,-1,1,1.00,-1,1292,-220,1,0.23200
1,-1,1,0.50,-1,1131,220,1,0.21948
2,1,1,0.50,1,1131,73,1,0.19423
1,1,1,1.00,1,1292,73,1,0.21131
2,-1,1,0.50,-1,1292,220,1,0.37680
1,1,-1,1.00,-1,1131,220,1,0.29013
1,1,-1,0.50,-1,1131,0,1,0.30208
2,-1,1,0.50,-1,969,73,1,0.28325
1,-1,-1,1.00,1,969,-220,1,0.20504
1,-1,1,0.50,-1,969,-220,1,0.34575
2,-1,-1,1.00,1,1131,220,1,0.27519
1,1,-1,1.00,-1,1131,0,1,0.20542
1,-1,-1,0.50,1,1131,220,1,0.36841
1,1,1,0.50,1,1131,73,1,0.18143
2,1,1,1.00,1,1292,-220,1,0.40733
1,1,1,1.00,1,969,220,1,0.31917
1,-1,1,0.50,-1,1131,-73,1,0.31667
2,1,1,0.50,1,969,220,1,0.40340
1,1,1,1.00,1,969,73,1,0.19494
1,-1,1,0.50,-1,969,220,1,0.24085
1,1,1,1.00,1,1131,-220,1,0.16055
2,1,1,0.50,1,1131,-220,1,0.25411
1,1,1,0.50,1,1131,-73,1,0.24336
2,-1,-1,0.50,1,1131,0,1,0.29783
2,-1,1,1.00,-1,1131,220,1,0.24295
2,-1,1,0.50,-1,969,-220,1,0.30460
1,1,-1,0.50,-1,1131,220,1,0.41377
2,-1,1,1.00,-1,969,73,1,0.44678
2,1,1,1.00,1,969,-220,1,0.25830
1,-1,1,1.00,-1,1292,220,1,0.30534
1,1,1,1.00,1,1131,-73,1,0.25853
2,1,-1,0.50,-1,1131,220,1,0.28006
1,1,1,1.00,1,1292,-220,1,0.32030
2,-1,1,0.50,-1,1131,73,1,0.00004
1,1,1,0.50,1,1292,-220,1,0.69164
2,1,1,1.00,1,969,220,1,0.99643
2,1,1,0.50,1,1292,220,1,0.54709
1,1,1,0.50,1,969,220,1,0.37545
1,-1,1,1.00,-1,1131,220,1,0.28129
1,1,1,1.00,1,1292,220,1,0.25771
1,1,1,0.50,1,1292,-73,1,0.39018
1,-1,1,1.00,-1,1292,-73,1,0.00003
1,1,1,1.00,1,1131,73,1,0.18314
2,1,1,0.50,1,969,73,1,0.41360
1,-1,1,1.00,-1,1131,-220,1,0.19761
1,-1,1,1.00,-1,969,73,1,0.21483
1,-1,-1,1.00,1,1131,220,1,0.24773
1,1,1,1.00,1,1131,220,1,0.23189
1,-1,1,1.00,-1,1292,-220,1,0.35135
1,-1,1,1.00,-1,1131,-73,1,0.51932
2,1,1,1.00,1,1292,-73,1,0.89749
1,1,-1,1.00,-1,969,-220,1,0.57890
1,-1,-1,1.00,1,1131,0,1,0.43487
2,1,1,0.50,1,1292,-73,1,0.42452
1,-1,1,0.50,-1,1131,73,1,0.22182
2,-1,1,0.50,-1,969,-73,1,0.45209
2,-1,1,1.00,-1,1292,220,1,0.38909
2,-1,1,0.50,-1,1131,220,1,0.79522
1,-1,1,1.00,-1,969,220,1,0.24364
2,1,-1,1.00,-1,969,-220,1,0.21364
1,-1,1,0.50,-1,1292,220,1,0.00005
2,-1,1,1.00,-1,1292,73,1,0.00004
2,1,1,1.00,1,969,-73,1,0.88436
2,1,1,1.00,1,1292,220,1,0.25370
1,1,1,0.50,1,1131,-220,1,0.00023
2,1,-1,0.50,-1,1131,0,1,0.37606
2,-1,1,1.00,-1,1131,-220,1,0.29742
1,1,1,1.00,1,969,-73,1,0.19424
2,1,1,0.50,1,1292,73,1,1.02465
2,1,1,1.00,1,969,73,1,0.31353
