type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
1,-1,1,0.50,-1,969,-73,1,0.26648
2,1,1,0.50,1,969,220,1,0.16122
2,1,1,1.00,1,1292,-220,1,0.14625
1,1,1,1.00,1,969,220,1,0.17922
1,1,1,0.50,1,1131,-73,1,0.16782
1,-1,1,1.00,-1,1292,220,1,0.12957
1,-1,1,0.50,-1,1292,-73,1,0.14958
2,-1,1,1.00,-1,969,-73,1,0.11055
1,1,1,1.00,1,1131,-220,1,0.14945
2,-1,1,0.50,-1,1131,-220,1,0.17102
2,-1,1,0.50,-1,1131,73,1,0.20935
1,-1,1,0.50,-1,969,220,1,0.20628
2,1,1,0.50,1,1131,220,1,0.11616
1,1,1,0.50,1,1131,73,1,0.15292
2,-1,1,1.00,-1,1131,73,1,0.05092
2,1,1,0.50,1,1292,220,1,0.18361
2,-1,-1,0.50,1,1131,220,1,0.25267
2,-1,-1,1.00,1,969,-220,1,0.10184
1,1,1,1.00,1,969,-73,1,0.16032
1,-1,1,0.50,-1,1131,73,1,0.18860
2,-1,1,1.00,-1,1131,-73,1,0.15701
1,1,-1,1.00,-1,1131,0,1,0.19777
1,1,1,0.50,1,969,220,1,0.12331
2,-1,1,1.00,-1,969,73,1,0.06129
1,-1,1,0.50,-1,1292,73,1,0.20988
1,-1,1,0.50,-1,1131,220,1,0.15821
2,1,1,1.00,1,969,73,1,0.14415
1,1,1,1.00,1,969,73,1,0.15287
2,-1,1,0.50,-1,969,-220,1,0.19119
2,-1,1,1.00,-1,1292,220,1,0.18448
2,-1,1,1.00,-1,1292,-220,1,0.14657
1,1,-1,1.00,-1,1131,220,1,0.14624
1,-1,1,1.00,-1,1292,-220,1,0.18062
2,-1,1,1.00,-1,1292,73,1,0.18061
2,1,1,0.50,1,969,-73,1,0.43498
2,1,-1,0.50,-1,1131,0,1,0.23342
2,1,-1,0.50,-1,969,-220,1,0.19875
2,1,1,1.00,1,1292,220,1,0.19226
2,-1,1,1.00,-1,1131,-220,1,0.00007
1,1,1,1.00,1,1292,-220,1,0.19463
2,1,1,0.50,1,1292,73,1,0.20096
1,1,-1,1.00,-1,969,-220,1,0.21742
2,1,1,1.00,1,1131,220,1,0.12254
1,1,1,0.50,1,1131,220,1,0.18385
2,1,1,1.00,1,1131,73,1,0.07314
1,1,1,0.50,1,1292,220,1,0.22170
1,1,-1,0.50,-1,1131,220,1,0.21102
