type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,1,1,0.50,1,1292,-220,1,0.27437
2,-1,1,1.00,-1,1131,-220,1,0.21226
1,-1,-1,0.50,1,1131,220,1,0.40884
1,-1,-1,0.50,1,969,-220,1,0.22220
1,1,1,1.00,1,1131,220,1,0.19879
1,-1,1,1.00,-1,1292,-220,1,0.19052
2,-1,1,1.00,-1,1131,-73,1,0.17723
1,-1,1,0.50,-1,1292,73,1,0.27008
2,1,1,1.00,1,1292,73,1,0.20720
2,1,-1,1.00,-1,1131,220,1,0.24041
1,1,1,1.00,1,1292,-73,1,0.17710
2,-1,1,0.50,-1,1292,73,1,0.17479
2,-1,-1,0.50,1,969,-220,1,0.22905
2,1,-1,0.50,-1,1131,220,1,0.25118
1,1,1,1.00,1,1292,-220,1,0.15584
2,1,1,1.00,1,1292,-220,1,0.16557
1,-1,1,0.50,-1,1292,-73,1,0.22767
1,1,1,0.50,1,1292,220,1,0.19162
1,-1,-1,0.50,1,1131,0,1,0.20330
2,-1,1,1.00,-1,1292,73,1,0.14188
1,-1,1,0.50,-1,1292,-220,1,0.46651
1,-1,1,0.50,-1,1131,73,1,0.15990
2,-1,-1,1.00,1,1131,0,1,0.00003
1,-1,1,1.00,-1,969,-73,1,0.20115
2,-1,1,0.50,-1,969,-73,1,0.20782
2,1,1,1.00,1,1292,220,1,0.20973
1,1,1,0.50,1,1131,220,1,0.25371
2,1,1,0.50,1,969,-73,1,0.21163
2,1,1,1.00,1,1131,220,1,0.19764
2,1,1,0.50,1,1131,-220,1,0.16415
1,1,1,1.00,1,1131,-220,1,0.15638
1,1,1,1.00,1,969,220,1,0.14872
1,-1,1,1.00,-1,1292,73,1,0.18937
2,1,1,1.00,1,969,220,1,0.22351
1,-1,1,1.00,-1,1131,73,1,0.19925
2,1,1,0.50,1,1131,220,1,0.17189
2,-1,1,1.00,-1,969,73,1,0.21340
2,1,-1,1.00,-1,1131,0,1,0.27145
1,-1,1,1.00,-1,1131,-220,1,0.24858
2,-1,1,1.00,-1,969,-220,1,0.20189
1,1,-1,0.50,-1,1131,0,1,0.50352
1,1,1,1.00,1,969,73,1,0.22430
1,-1,1,0.50,-1,1131,-220,1,0.20334
1,1,-1,0.50,-1,1131,220,1,0.36744
1,1,1,0.50,1,1131,-73,1,0.22865
1,1,1,0.50,1,1131,-220,1,0.18514
1,-1,1,1.00,-1,969,-220,1,0.13831
1,-1,1,0.50,-1,969,73,1,0.24744
1,-1,1,0.50,-1,1292,220,1,0.21968
2,-1,1,1.00,-1,1292,220,1,0.17509
1,1,-1,1.00,-1,1131,0,1,0.29488
2,-1,1,0.50,-1,969,73,1,0.22035
2,1,1,0.50,1,1292,-73,1,0.20987
1,1,1,1.00,1,1131,-73,1,0.21027
1,1,1,0.50,1,1292,-73,1,0.21567
1,1,1,0.50,1,969,73,1,0.18799
2,1,1,0.50,1,1292,73,1,0.21848
1,-1,1,0.50,-1,969,-220,1,0.58320
2,1,1,0.50,1,969,73,1,0.24539
1,-1,1,1.00,-1,969,220,1,0.24627
2,1,1,1.00,1,969,73,1,0.17536
2,1,1,1.00,1,1131,-73,1,0.17691
2,1,1,1.00,1,1131,73,1,0.19543
2,1,1,0.50,1,1131,73,1,0.17694
2,1,1,0.50,1,1131,-73,1,0.19850
1,1,1,0.50,1,969,-220,1,0.25083
2,-1,1,0.50,-1,1131,-220,1,0.16947
1,1,1,0.50,1,969,-73,1,0.18303
2,-1,1,0.50,-1,1131,73,1,0.18851
1,-1,-1,1.00,1,1131,0,1,0.19705
2,-1,1,0.50,-1,1131,220,1,0.17916
1,1,-1,1.00,-1,1131,220,1,0.22703
1,1,1,1.00,1,1292,73,1,0.21242
1,1,1,0.50,1,1292,-220,1,0.27190
2,1,-1,0.50,-1,1131,0,1,0.22076
2,-1,1,1.00,-1,969,-73,1,0.23104
1,-1,-1,1.00,1,1131,220,1,0.26406
2,1,1,0.50,1,969,220,1,0.20636
1,1,-1,1.00,-1,969,-220,1,0.52701
1,1,1,1.00,1,969,-73,1,0.27160
2,-1,-1,0.50,1,1131,220,1,0.26086
1,-1,1,1.00,-1,1131,220,1,0.21404
1,1,1,0.50,1,1131,73,1,0.27451
2,1,1,0.50,1,969,-220,1,0.21629
2,-1,1,1.00,-1,969,220,1,0.20174
2,-1,1,1.00,-1,1292,-220,1,0.25954
1,1,1,1.00,1,1131,73,1,0.35637
2,1,-1,0.50,-1,969,-220,1,0.25045
1,1,1,1.00,1,969,-220,1,0.23453
1,-1,-1,1.00,1,969,-220,1,0.24342
1,-1,1,0.50,-1,1131,-73,1,0.20839
2,-1,-1,1.00,1,969,-220,1,0.19478
1,1,1,1.00,1,1292,220,1,0.20996
2,-1,1,1.00,-1,1131,220,1,0.21271
1,-1,1,1.00,-1,1292,220,1,0.26903
2,-1,1,0.50,-1,1292,220,1,0.28290
1,-1,1,1.00,-1,1131,-73,1,0.23537
2,1,1,0.50,1,1292,220,1,0.18516
2,1,1,1.00,1,1292,-73,1,0.20311
2,-1,1,1.00,-1,1131,73,1,0.22918
1,-1,1,0.50,-1,1131,220,1,0.19330
1,1,1,0.50,1,969,220,1,0.24562
1,-1,1,0.50,-1,969,220,1,0.19527
2,-1,-1,1.00,1,1131,220,1,0.17301
2,-1,1,0.50,-1,1131,-73,1,0.25155
2,1,1,1.00,1,969,-220,1,0.18858
2,1,-1,1.00,-1,969,-220,1,0.23808
1,-1,1,1.00,-1,1292,-73,1,0.16795
1,1,-1,0.50,-1,969,-220,1,0.33992
2,1,1,1.00,1,969,-73,1,0.20531
1,-1,1,1.00,-1,969,73,1,0.25433
2,-1,1,0.50,-1,969,-220,1,0.18022
2,1,1,1.00,1,1131,-220,1,0.22100
2,-1,1,0.50,-1,969,220,1,0.23528
1,1,1,0.50,1,1292,73,1,0.22403
2,-1,-1,0.50,1,1131,0,1,0.22188
2,-1,1,0.50,-1,1292,-73,1,0.22044
2,-1,1,1.00,-1,1292,-73,1,0.20631
2,-1,1,0.50,-1,1292,-220,1,0.50784
1,-1,1,0.50,-1,969,-73,1,0.31253
